127.0.0.1 - - [19/Sep/2019:17:02:43 +0545] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:02:47 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:04:56 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 500 2758
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:05:37 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 500 3923
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:08:39 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:10:28 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:11:15 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:12:04 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:13:42 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 500 3006
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:18:03 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:25:14 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:26:50 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:27:08 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:28:16 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:33:45 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:39:34 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:39:36 +0545] "GET /Jsp_jstl/index.jsp;jsessionid=4A5A08D45F9EE267A9F2258B442D92B0?trackingId=786&user=Nakul HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:40:05 +0545] "GET /Jsp_jstl/index.jsp;jsessionid=4A5A08D45F9EE267A9F2258B442D92B0?trackingId=786&user=Nakul HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:40:13 +0545] "GET /Jsp_jstl/index.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:41:59 +0545] "GET /Jsp_jstl/Jstl.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:47:46 +0545] "GET /Jsp_jstl/Functions.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:50:12 +0545] "GET /Jsp_jstl/Functions.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [19/Sep/2019:17:55:53 +0545] "GET /Jsp_jstl/Functions.jsp HTTP/1.1" 200 331
